01_latin_order,02_latin_tokens,03_eng_direct_tokens,1656_en,1743_en,1872_en,1886_en,1916_en,1936_en,full_list,nr_of_words,uniques
128.0,sola,alone,sole,alone,alone,sole,alone,alone,"['sole', 'alone', 'alone', 'sole', 'alone', 'alone']",6.0,2.0
132.0,te,you (acc),thee,thee,thee,thee,thee,thine,"['thee', 'thee', 'thee', 'thee', 'thee', 'thine']",6.0,2.0
143.0,amabile,lovable,pleasant,lovely,lovely,lovely,lovely,lovely,"['pleasant', 'lovely', 'lovely', 'lovely', 'lovely', 'lovely']",6.0,2.0
153.0,de,about,of,of,on,of,on,of,"['of', 'of', 'on', 'of', 'on', 'of']",6.0,2.0
155.0,natura,nature,natures,nature,nature,nature,nature,nature,"['natures', 'nature', 'nature', 'nature', 'nature', 'nature']",6.0,2.0
158.0,memmiadae,Memmius,memmius,memmius,memmius,memmii,memmius,memmii,"['memmius', 'memmius', 'memmius', 'memmii', 'memmius', 'memmii']",6.0,2.0
160.0,quem,whom,who,whom,whom,whom,whom,whom,"['who', 'whom', 'whom', 'whom', 'whom', 'whom']",6.0,2.0
161.0,tu,you,thee,thou,thou,thou,thou,thou,"['thee', 'thou', 'thou', 'thou', 'thou', 'thou']",6.0,2.0
185.0,maria,seas,seas,sea,seas,seas,sea,seas,"['seas', 'sea', 'seas', 'seas', 'sea', 'seas']",6.0,2.0
187.0,terras,earth,land,land,lands,lands,land,lands,"['land', 'land', 'lands', 'lands', 'land', 'lands']",6.0,2.0
193.0,sola,only,alone,alone,alone,alone,alone,only,"['alone', 'alone', 'alone', 'alone', 'alone', 'only']",6.0,2.0
194.0,potes,can,canst,canst,canst,canst,hast,canst,"['canst', 'canst', 'canst', 'canst', 'hast', 'canst']",6.0,2.0
196.0,pace,peace,rest,peace,peace,peace,peace,peace,"['rest', 'peace', 'peace', 'peace', 'peace', 'peace']",6.0,2.0
203.0,mavors,Mars,mars,mars,mars,mavors,mars,mavors,"['mars', 'mars', 'mars', 'mavors', 'mars', 'mavors']",6.0,2.0
207.0,gremium,"lap, bossom",bosom,lap,bosom,lap,bosom,lap,"['bosom', 'lap', 'bosom', 'lap', 'bosom', 'lap']",6.0,2.0
216.0,amoris,of love,love,love,love's,love,love,love,"['love', 'love', ""love's"", 'love', 'love', 'love']",6.0,2.0
221.0,cervice,the neck,neck,neck,neck,neck,throat,neck,"['neck', 'neck', 'neck', 'neck', 'throat', 'neck']",6.0,2.0
235.0,spiritus,breath of,soul,soul,breath,breath,breath,breath,"['soul', 'soul', 'breath', 'breath', 'breath', 'breath']",6.0,2.0
247.0,suavis,"sweet, grateful",sweet,soft,sweet,sweet,soft,sweet,"['sweet', 'soft', 'sweet', 'sweet', 'soft', 'sweet']",6.0,2.0
257.0,nam,for,for,for,For,for,for,for,"['for', 'for', 'For', 'for', 'for', 'for']",6.0,2.0
15.0,quae,who,,,,,,that,"[0, 0, 0, 0, 0, 'that']",1.0,1.0
126.0,rerum,things,,,,,,things,"[0, 0, 0, 0, 0, 'things']",1.0,1.0
142.0,neque,nothing,,,,,,nor,"[0, 0, 0, 0, 0, 'nor']",1.0,1.0
144.0,quicquam,anything,,,aught,,,,"[0, 0, 'aught', 0, 0, 0]",1.0,1.0
147.0,studeo,studying,studious,,,,,,"['studious', 0, 0, 0, 0, 0]",1.0,1.0
164.0,in,in,,,,,,through,"[0, 0, 0, 0, 0, 'through']",1.0,1.0
227.0,in,in,,,,on,,,"[0, 0, 0, 'on', 0, 0]",1.0,1.0
238.0,tu,you,,,,,,thou,"[0, 0, 0, 0, 0, 'thou']",1.0,1.0
255.0,incluta,"celebrated, famous, glorious",,,,,glorious,,"[0, 0, 0, 0, 'glorious', 0]",1.0,1.0
35.0,te,you (acc),,thee,,thee,,,"[0, 'thee', 0, 'thee', 0, 0]",2.0,1.0
62.0,et,and  ,and,,,and,,,"['and', 0, 0, 'and', 0, 0]",2.0,1.0
148.0,scribendis,to write (writing),,,,writing,,writing,"[0, 0, 0, 'writing', 0, 'writing']",2.0,1.0
150.0,esse,are,,,be,,,be,"[0, 0, 'be', 0, 0, 'be']",2.0,1.0
163.0,tempore,times,,ever,,ever,,,"[0, 'ever', 0, 'ever', 0, 0]",2.0,1.0
166.0,omnibus,"all, everything",,,,,every,every,"[0, 0, 0, 0, 'every', 'every']",2.0,1.0
178.0,effice,"make, create, succeed",,,cause,cause,,,"[0, 0, 'cause', 'cause', 0, 0]",2.0,1.0
188.0,omnis,"all, everybody",,,all,all,,,"[0, 0, 'all', 'all', 0, 0]",2.0,1.0
208.0,qui,who,,,who,who,,,"[0, 0, 'who', 'who', 0, 0]",2.0,1.0
210.0,tuum,yours,,,thy,,,thy,"[0, 0, 'thy', 0, 0, 'thy']",2.0,1.0
217.0,atque,and,,,,,and,and,"[0, 0, 0, 0, 'and', 'and']",2.0,1.0
229.0,dea,goddess,,,,goddess,goddess,,"[0, 0, 0, 'goddess', 'goddess', 0]",2.0,1.0
246.0,super,"on top, above",,,,above,above,,"[0, 0, 0, 'above', 'above', 0]",2.0,1.0
273.0,in,in ,in,in,,,,,"['in', 'in', 0, 0, 0, 0]",2.0,1.0
168.0,voluisti,(you) wanted,,,,willed,willed,willed,"[0, 0, 0, 'willed', 'willed', 'willed']",3.0,1.0
240.0,tuo,on your,,thy,,thy,,thy,"[0, 'thy', 0, 'thy', 0, 'thy']",3.0,1.0
40.0,tibi,"you (fem, dat)",,thee,,thee,thee,thee,"[0, 'thee', 0, 'thee', 'thee', 'thee']",4.0,1.0
248.0,ex,from,,,from,from,from,from,"[0, 0, 'from', 'from', 'from', 'from']",4.0,1.0
55.0,nam,for,for,for,,for,for,for,"['for', 'for', 0, 'for', 'for', 'for']",5.0,1.0
61.0,diei,"day (sg, masc gen)",day,,day,day,day,day,"['day', 0, 'day', 'day', 'day', 'day']",5.0,1.0
69.0,primum,"the first, first",first,first,,first,first,first,"['first', 'first', 0, 'first', 'first', 'first']",5.0,1.0
78.0,tua,"yours, of you (adj sg fem abl)",thy,thy,thy,thy,,thy,"['thy', 'thy', 'thy', 'thy', 0, 'thy']",5.0,1.0
109.0,avium,birds,birds,,birds,birds,birds,birds,"['birds', 0, 'birds', 'birds', 'birds', 'birds']",5.0,1.0
162.0,dea,goddess,goddess,goddess,goddess,goddess,,goddess,"['goddess', 'goddess', 'goddess', 'goddess', 0, 'goddess']",5.0,1.0
191.0,nam,for,,for,for,for,for,for,"[0, 'for', 'for', 'for', 'for', 'for']",5.0,1.0
249.0,ore,mouth,lips,,lips,lips,lips,lips,"['lips', 0, 'lips', 'lips', 'lips', 'lips']",5.0,1.0
258.0,neque,neither,,neither,neither,neither,neither,neither,"[0, 'neither', 'neither', 'neither', 'neither', 'neither']",5.0,1.0
3.0,hominum,human,men,men,men,men,men,men,"['men', 'men', 'men', 'men', 'men', 'men']",6.0,1.0
4.0,divomque,godly,gods,gods,gods,gods,gods,gods,"['gods', 'gods', 'gods', 'gods', 'gods', 'gods']",6.0,1.0
7.0,venus,Venus,venus,venus,venus,venus,venus,venus,"['venus', 'venus', 'venus', 'venus', 'venus', 'venus']",6.0,1.0
31.0,dea,goddess,goddess,goddess,goddess,goddess,goddess,goddess,"['goddess', 'goddess', 'goddess', 'goddess', 'goddess', 'goddess']",6.0,1.0
43.0,tellus,"the earth, globe",earth,earth,earth,earth,earth,earth,"['earth', 'earth', 'earth', 'earth', 'earth', 'earth']",6.0,1.0
45.0,flores,"a blossom, flower",flowers,flowers,flowers,flowers,flowers,flowers,"['flowers', 'flowers', 'flowers', 'flowers', 'flowers', 'flowers']",6.0,1.0
102.0,maria,seas,seas,seas,seas,seas,seas,seas,"['seas', 'seas', 'seas', 'seas', 'seas', 'seas']",6.0,1.0
124.0,quae,because,since,since,since,since,since,since,"['since', 'since', 'since', 'since', 'since', 'since']",6.0,1.0
131.0,sine,without,without,without,without,without,without,without,"['without', 'without', 'without', 'without', 'without', 'without']",6.0,1.0
136.0,luminis,of light,light,light,light,light,light,light,"['light', 'light', 'light', 'light', 'light', 'light']",6.0,1.0
151.0,quos,whom,which,which,which,which,which,which,"['which', 'which', 'which', 'which', 'which', 'which']",6.0,1.0
152.0,ego,I,i,i,i,i,i,i,"['i', 'i', 'i', 'i', 'i', 'i']",6.0,1.0
186.0,ac,and,and,and,and,and,and,and,"['and', 'and', 'and', 'and', 'and', 'and']",6.0,1.0
192.0,tu,you,thou,thou,thou,thou,thou,thou,"['thou', 'thou', 'thou', 'thou', 'thou', 'thou']",6.0,1.0
256.0,pacem,peace,peace,peace,peace,peace,peace,peace,"['peace', 'peace', 'peace', 'peace', 'peace', 'peace']",6.0,1.0
18.0,concelebras,celebrate,,,,,,,"[0, 0, 0, 0, 0, 0]",0.0,0.0
57.0,ac,and (from atque),,,,,,,"[0, 0, 0, 0, 0, 0]",0.0,0.0
97.0,quamque,and how,,,,,,,"[0, 0, 0, 0, 0, 0]",0.0,0.0
119.0,ut,that,,,,,,,"[0, 0, 0, 0, 0, 0]",0.0,0.0
125.0,quoniam,because (for),,,,,,,"[0, 0, 0, 0, 0, 0]",0.0,0.0
134.0,dias,"dea, of deity",,,,,,,"[0, 0, 0, 0, 0, 0]",0.0,0.0
135.0,in,in,,,,,,,"[0, 0, 0, 0, 0, 0]",0.0,0.0
157.0,conor,try,,,,,,,"[0, 0, 0, 0, 0, 0]",0.0,0.0
170.0,rebus,things,,,,,,,"[0, 0, 0, 0, 0, 0]",0.0,0.0
179.0,ut,in,,,,,,,"[0, 0, 0, 0, 0, 0]",0.0,0.0
231.0,eque,,,,,,,,"[0, 0, 0, 0, 0, 0]",0.0,0.0
232.0,tuo,yours,,,,,,,"[0, 0, 0, 0, 0, 0]",0.0,0.0
251.0,funde,"to pour out, to shed",,,,,,,"[0, 0, 0, 0, 0, 0]",0.0,0.0
261.0,hoc,"here, in this place",,,,,,,"[0, 0, 0, 0, 0, 0]",0.0,0.0
