01_latin_order,02_latin_tokens,03_eng_direct_tokens,1656_en,1743_en,1872_en,1886_en,1916_en,1936_en,full_list,nr_of_words,uniques
63.0,reserata,to take by storm,gales,unlock’d,fecundating,blowing,gales,,"['gales', 'unlock’d', 'fecundating', 'blowing', 'gales', 0]",5.0,4.0
65.0,genitabilis,of (adj sg masc gen),genial,genial,,birth-favoring,procreant,teeming,"['genial', 'genial', 0, 'birth-favoring', 'procreant', 'teeming']",5.0,4.0
68.0,aeriae,airy (adj),aery,airy,aerial,air,air,,"['aery', 'airy', 'aerial', 'air', 'air', 0]",5.0,4.0
77.0,corda,the heart,brest,souls,,heart,heart,hearts,"['brest', 'souls', 0, 'heart', 'heart', 'hearts']",5.0,4.0
96.0,quo,where,,where,wheresoe'er,whither,whithersoever,whither,"[0, 'where', ""wheresoe'er"", 'whither', 'whithersoever', 'whither']",5.0,4.0
176.0,diva,goddess,,deity,goddess,lady,divine,goddess,"[0, 'deity', 'goddess', 'lady', 'divine', 'goddess']",5.0,4.0
177.0,leporem,charm,,beauty,grace,charm,charm,loveliness,"[0, 'beauty', 'grace', 'charm', 'charm', 'loveliness']",5.0,4.0
181.0,fera,beast,,bloody,fierce,savage,savage,wild,"[0, 'bloody', 'fierce', 'savage', 'savage', 'wild']",5.0,4.0
198.0,mortalis,"mortals, humans",,mankind,mortals,mankind,mortality,mortal,"[0, 'mankind', 'mortals', 'mankind', 'mortality', 'mortal']",5.0,4.0
201.0,fera,beast,direful,bloody,,savage,savage,wild,"['direful', 'bloody', 0, 'savage', 'savage', 'wild']",5.0,4.0
204.0,armipotens,in arms powerful,,armipotent,potent,lord,puissant,lord,"[0, 'armipotent', 'potent', 'lord', 'puissant', 'lord']",5.0,4.0
230.0,visus,see / sight,,views,gaze,sight,sight,gazing,"[0, 'views', 'gaze', 'sight', 'sight', 'gazing']",5.0,4.0
262.0,patriai,fatherland,countrey,,country's,country’s,state,country’s,"['countrey', 0, ""country's"", 'country’s', 'state', 'country’s']",5.0,4.0
266.0,aequo,equally,,cheerful,tranquil,untroubled,untroubled,undistressed,"[0, 'cheerful', 'tranquil', 'untroubled', 'untroubled', 'undistressed']",5.0,4.0
271.0,propago,"propagate, increase, flourish",,house,scion,offset,scion,son,"[0, 'house', 'scion', 'offset', 'scion', 'son']",5.0,4.0
33.0,fugiunt,"fly, take flight",flee,fly,hushed,flee,flee,turn,"['flee', 'fly', 'hushed', 'flee', 'flee', 'turn']",6.0,4.0
38.0,adventumque,"to reach, arrive at",com'st,approach,coming,advent,coming,coming,"[""com'st"", 'approach', 'coming', 'advent', 'coming', 'coming']",6.0,4.0
60.0,verna,of spring (adj sg fem),springs,spring,vernal,vernal,springtime,spring,"['springs', 'spring', 'vernal', 'vernal', 'springtime', 'spring']",6.0,4.0
67.0,favoni, the west wind (Favonius),west,western,zephyrs,favonius,west,west,"['west', 'western', 'zephyrs', 'favonius', 'west', 'west']",6.0,4.0
83.0,persultant,"to leap about, range through",jump,frisk,bound,bound,leap,bound,"['jump', 'frisk', 'bound', 'bound', 'leap', 'bound']",6.0,4.0
90.0,ita,"thus, so",where,so,thus,such,thus,so,"['where', 'so', 'thus', 'such', 'thus', 'so']",6.0,4.0
92.0,lepore,charm,beauty,charms,charms,charms,spell,charm,"['beauty', 'charms', 'charms', 'charms', 'spell', 'charm']",6.0,4.0
175.0,dictis,words,flow,verse,words,lays,words,words,"['flow', 'verse', 'words', 'lays', 'words', 'words']",6.0,4.0
184.0,per,for,by,by,throughout,throughout,o'er,over,"['by', 'by', 'throughout', 'throughout', ""o'er"", 'over']",6.0,4.0
189.0,sopita,"sleep, repose",peace,asleep,rest,rest,rest,sleep,"['peace', 'asleep', 'rest', 'rest', 'rest', 'sleep']",6.0,4.0
205.0,regit,"to rule, to govern",lord,rules,rules,controls,rules,guides,"['lord', 'rules', 'rules', 'controls', 'rules', 'guides']",6.0,4.0
